                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8967,                 9.7618,                 5.6637,                      0,                      0,                      0,                      0,                 6.4982,                 18.007,                 4.1581,                 0.0946,                 0.0006,                 0.0006
                      1,                  4.092,                 8.8842,                 6.0744,                      0,                      0,                      0,                      0,                 6.4947,                 15.931,                 4.1571,               0.088287,              0.0012871,              0.0012871
                      2,                 4.2768,                 7.8871,                 5.8272,                      0,                      0,                      0,                      0,                 6.4914,                 14.636,                 4.1558,                0.08196,              0.0019604,              0.0019604
                      3,                 3.8846,                 6.4725,                 5.2491,                      0,                      0,                      0,                      0,                 6.4889,                 13.766,                 4.1554,                0.07562,              0.0026198,              0.0026198
                      4,                 4.1417,                 6.6359,                 5.2753,                      0,                      0,                      0,                      0,                 6.4865,                 12.829,                 4.1563,               0.069265,              0.0032654,              0.0032654
                      5,                 3.9262,                 5.9338,                 5.0195,                      0,                      0,                      0,                      0,                 6.4848,                 12.221,                 4.1574,               0.062897,               0.003897,               0.003897
                      6,                 4.0438,                 5.2557,                 4.8149,                      0,                      0,                      0,                      0,                 6.4832,                  11.51,                 4.1595,               0.056515,              0.0045149,              0.0045149
                      7,                 3.4122,                 4.6355,                 4.5697,                      0,                      0,                      0,                      0,                 6.4829,                 11.194,                 4.1613,               0.050119,              0.0051188,              0.0051188
                      8,                 3.5925,                 4.6122,                 4.3647,                      0,                      0,                      0,                      0,                 6.4829,                  10.75,                 4.1662,               0.043709,               0.005709,               0.005709
                      9,                  3.827,                 4.6308,                 4.3793,                      0,                      0,                      0,                      0,                  6.483,                 10.457,                 4.1693,               0.037285,              0.0062852,              0.0062852
                     10,                 3.3923,                 4.1326,                 4.1082,                      0,                      0,                      0,                      0,                 6.4836,                 10.171,                 4.1737,               0.030848,              0.0068476,              0.0068476
                     11,                 3.1316,                 4.0347,                  4.041,                      0,                      0,                      0,                      0,                 6.4857,                  9.832,                 4.1758,               0.024396,              0.0073961,              0.0073961
                     12,                  3.643,                 3.9171,                 3.9223,                      0,                      0,                      0,                      0,                 6.4785,                 9.7295,                 4.1585,               0.017931,              0.0079308,              0.0079308
                     13,                 3.4075,                 3.7358,                 3.7617,                      0,                      0,                      0,                      0,                 6.3825,                 9.2921,                 4.0252,               0.011452,              0.0084516,              0.0084516
                     14,                 3.3058,                 3.7445,                 3.5153,                0.00267,                    0.2,                0.19608,                0.01961,                 5.2149,                 9.3817,                 3.4848,               0.008614,               0.008614,               0.008614
                     15,                 3.2628,                 2.8859,                 3.4191,                0.00267,                    0.2,                0.19608,                0.01961,                 5.7603,                 7.0599,                 3.8514,               0.008614,               0.008614,               0.008614
                     16,                 3.2118,                 3.2277,                 3.2588,                0.00267,                    0.2,                0.19608,                0.01961,                 5.6497,                 7.9224,                 3.8913,               0.008515,               0.008515,               0.008515
                     17,                 3.1972,                 3.1464,                 3.4569,                0.00267,                    0.2,                0.19608,                0.01961,                 5.8731,                 7.2406,                 3.7542,               0.008416,               0.008416,               0.008416
                     18,                 3.1098,                 3.0937,                 2.9588,                0.19151,                    0.2,                0.05946,                0.00595,                  4.187,                 3.3845,                  3.061,               0.008317,               0.008317,               0.008317
                     19,                 3.4029,                 3.2959,                 3.1808,                0.00242,                    0.2,                0.19598,                0.11759,                 3.3555,                 5.0101,                  2.784,               0.008218,               0.008218,               0.008218
